category,color,word,meaning
Key Phrases - Ask people about themselves,,"Alice et Paul, vous cuisinez?","Alice and Paul, are you cooking?"
Key Phrases - Ask people about themselves,,Vous habitez ensemble?,Do you live together?
Key Phrases - Ask people about themselves,,"Alice et Paul, vous parlez anglais?","Alice and Paul, do you speak English?"
Key Phrases - Ask people about themselves,,Vous avez des enfants?,Do you have children?
Key Phrases - Ask people about themselves,,"Marc et Julia, ce sont vos parents?","Marc and Julia, are those your parents?"
Tip - Vous,,vous mangez,you eat
Tip - Vous,,vous parlez,You speak
Tip - Vous,,vous cuisinez,You cook (or you are cooking/preparing food)
Tip - Vous,,vous habitez,you live
Tip - Vous,,Vous voulez des bananes?,Do you want bananas?
Tip - Mon amie!,,ma sœur,my sister
Tip - Mon amie!,,mon amie,my friend
Radio: Exhausting Fun - Lily and Strangers,,"Bonjour, je m'appelle Emma. Je suis française et j'habite en France.","Hello, my name is Emma. I am French and I live in France."
Radio: Exhausting Fun - Lily and Strangers,,Mon ami s'appelle Marie.,My friend's name is Marie.
Radio: Exhausting Fun - Lily and Strangers,,Marie et moi prenons des croissants tous les jours.,Marie and I have croissants every day.
Radio: Exhausting Fun - Lily and Strangers,,Nous écoutons de la musique ensemble.,We listen to music together.
Radio: Exhausting Fun - Lily and Strangers,,C'est toujours amusant avec elle.,It's always fun with her.
Radio: Announcing Locations - Falstaff’s Guide to Humans,,"Bonjour, Marie. Vous êtes ici aussi?","Hello, Marie. Are you here too?"
Radio: Announcing Locations - Falstaff’s Guide to Humans,,"Bonjour, Alice. Oui, je suis ici avec Paul.","Hello, Alice. Yes, I am here with Paul."
Radio: Announcing Locations - Falstaff’s Guide to Humans,,"Ah, Paul et Marc, ce sont vos amis?","Ah, Paul and Marc, are they your friends?"
Radio: Announcing Locations - Falstaff’s Guide to Humans,,"Oui, ce sont nos amis. Et vous? Vous aimez cette ville?","Yes, they are our friends. And you? Do you like this city?"
Radio: Announcing Locations - Falstaff’s Guide to Humans,,"Oui, j'aime beaucoup cette ville. Vous prenez le déjeuner ici?","Yes, I really like this city. Are you having lunch here?"
Radio: Announcing Locations - Falstaff’s Guide to Humans,,"Oui, souvent. On achète une baguette tous les jours.","Yes, often. We buy a baguette every day."
Radio: Cafe Meeting - Lucy is Listening,,"Bonjour, Lisa. Vous habitez ici?","Hello, Lisa. Do you live here?"
Radio: Cafe Meeting - Lucy is Listening,,"Bonjour, Louis. Oui, j'habite ici près du parc.","Hello, Louis. Yes, I live here near the park."
Radio: Cafe Meeting - Lucy is Listening,,Vous achetez des croissants tous les jours?,Do you buy croissants every day?
Radio: Cafe Meeting - Lucy is Listening,,"Oui, j'aime les croissants. Et vous Louis?","Yes, I like croissants. And you Louis?"
Radio: Cafe Meeting - Lucy is Listening,,"Oui, je prends aussi une baguette tous les jours.","Yes, I also take a baguette every day."
Radio: Cafe Meeting - Lucy is Listening,,Ah j'adore ça. Vous allez souvent au café?,"Ah, I love that. Do you often go to the cafe?"
Radio: Cafe Meeting - Lucy is Listening,,"Oui, j'y vais souvent après ma marche au parc.","Yes, I often go there after my walk in the park."
